Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Asset_Category
Chandresh Kumari,INC,0,12th Pass,65,132881067,Jodhpur,60744,1,F,>1Cr
Gurdan Singh,JKNPP,0,8th Pass,43,480000,Jodhpur,0,0,M,1L-10L
Jaswant Singh,BJP,0,Graduate Professional,50,20380026,Jodhpur,3084136,0,M,>1Cr
Rajuram,BSP,0,Graduate,43,5185787,Jodhpur,0,0,M,10L-1Cr
Khiladi Lal Bairwa,INC,0,Graduate,45,62802340,Karauli-Dholpur,5693479,1,M,>1Cr
Dr Manoj Rajoria,BJP,0,Post Graduate,39,12808000,Karauli-Dholpur,2251000,0,M,>1Cr
Hattiram,BSP,0,5th Pass,61,4375000,Karauli-Dholpur,0,0,M,10L-1Cr
Ramesh,SP,0,10th Pass,57,748000,Karauli-Dholpur,0,0,M,1L-10L
Shree Lal Khare,LJP,0,Null,54,380000,Karauli-Dholpur,0,0,M,1L-10L
Ijyaraj Singh,INC,0,Post Graduate,44,180131144,Kota,0,1,M,>1Cr
Babu Lal Meghwal,BHBP,0,Graduate Professional,43,3966000,Kota,0,0,M,10L-1Cr
Farheen Tabssum,SP,0,10th Pass,33,40000,Kota,0,0,F,<1L
Govind Singh,BSP,0,10th Pass,56,5847000,Kota,1000000,0,M,10L-1Cr
Priyank,JGP,2,Graduate,29,270956,Kota,210000,0,M,1L-10L
Ramhet,IJP,0,Graduate,42,96875,Kota,0,0,M,<1L
Samudra Singh,Akahand Bharat Maha Sangh Sarvahara Krantikar,1,8th Pass,72,515500,Kota,0,0,M,1L-10L
Shyam,BJP,0,Graduate Professional,54,9974260,Kota,326970,0,M,10L-1Cr
Dr Jyoti Mirdha,INC,0,Graduate Professional,36,39039915,Nagaur,0,1,F,>1Cr
Abdul Aziz,BSP,0,Graduate Professional,71,3203724,Nagaur,0,0,M,10L-1Cr
Bindu Choudhary,BJP,0,Post Graduate,45,7420682,Nagaur,589076,0,F,10L-1Cr
Dasharath Singh,JGP,0,12th Pass,35,3345000,Nagaur,0,0,M,10L-1Cr
Ramjan Sahab,LJP,0,12th Pass,63,210000,Nagaur,0,0,M,1L-10L
Badri Ram,INC,1,Literate,59,60243814,Pali,498169,0,M,>1Cr
Ganpat Singh Rajpurohit,JGP,0,12th Pass,26,160000,Pali,0,0,M,1L-10L
Mishri Lal Nayak,ABHM,0,10th Pass,52,288000,Pali,0,0,M,1L-10L
Pushp Jain,BJP,0,Graduate Professional,52,4089222,Pali,359070,0,M,10L-1Cr
Shambhu Singh Khetasar,BSP,0,Graduate,55,31877249,Pali,0,0,M,>1Cr
Gopal Singh,INC,0,Graduate Professional,58,4106255,Rajsamand,489648,1,M,10L-1Cr
Deva Ram,IJP,0,Null,34,357000,Rajsamand,0,0,M,1L-10L
Mahendra Singh,LJP,0,8th Pass,31,22000,Rajsamand,0,0,M,<1L
Neeruram,BSP,0,10th Pass,39,2460000,Rajsamand,0,0,M,10L-1Cr
Ramesh Solanki,Akhil Bharatiya Congress Dal (Ambedkar),0,Graduate Professional,56,159000,Rajsamand,0,0,M,1L-10L
Rasa Singh Rawat,BJP,0,Post Graduate,67,3273998,Rajsamand,0,0,M,10L-1Cr
Mahadev Singh,INC,0,Post Graduate,66,7879689,Sikar,0,1,M,10L-1Cr
Amara Ram,CPM,0,Post Graduate,54,1902684,Sikar,0,0,M,10L-1Cr
Bhagvan Sahay,LJP,0,8th Pass,47,460440,Sikar,0,0,M,1L-10L
Bharat Singh,BSP,1,8th Pass,34,84618325,Sikar,9719032,0,M,>1Cr
